h,Emin,fid,p,q
0.0,0.060768642734135625,nan,-1,-1
0.1,0.06073934934277858,nan,-1,-1
0.2,0.06065170236700812,nan,-1,-1
0.30000000000000004,0.06050639677681957,nan,-1,-1
0.4,0.060304575592376786,nan,-1,-1
0.5,0.060047807519453045,nan,-1,-1
0.6000000000000001,0.059738056677341334,nan,-1,-1
0.7000000000000001,0.059377645406481605,nan,-1,-1
0.8,0.05896921135303934,nan,-1,-1
0.9,0.05851566018586141,nan,-1,-1
1.0,0.05802011539982743,nan,-1,-1
1.1,0.05748586669360467,nan,-1,-1
1.2000000000000002,0.05691631837827149,nan,-1,-1
1.3,0.056314939179825885,nan,-1,-1
1.4000000000000001,0.05568521465038323,nan,-1,-1
1.5,0.05503060321167208,nan,-1,-1
1.6,0.054354496633732374,nan,-1,-1
1.7000000000000002,0.05366018551658858,nan,-1,-1
1.8,0.05295083010809076,nan,-1,-1
1.9000000000000001,0.05222943656994605,nan,-1,-1
2.0,0.051498838607017206,nan,-1,-1
2.1,0.05076168420971161,nan,-1,-1
2.2,0.05002042712970667,nan,-1,-1
2.3000000000000003,0.04927732261650153,nan,-1,-1
2.4000000000000004,0.048534426884620174,nan,-1,-1
2.5,0.047793599755289407,nan,-1,-1
2.6,0.04705650991701571,nan,-1,-1
2.7,0.04632464227148958,nan,-1,-1
2.8000000000000003,0.04559930686867997,nan,-1,-1
2.9000000000000004,0.04488164898339697,nan,-1,-1
3.0,0.044172659939466286,nan,-1,-1
