cxy,cyx,cxz,min_abs_E
0,0,0,1.789581e-02
0,0,0.05,1.789581e-02
0,0,0.1,1.789581e-02
0,0,0.15,1.789581e-02
0,0,0.2,1.789581e-02
0,0.05,0,7.089793e-02
0,0.05,0.05,7.089793e-02
0,0.05,0.1,7.089793e-02
0,0.05,0.15,7.089793e-02
0,0.05,0.2,7.089793e-02
0,0.1,0,1.320321e-01
0,0.1,0.05,1.320321e-01
0,0.1,0.1,1.320321e-01
0,0.1,0.15,1.320321e-01
0,0.1,0.2,1.320321e-01
0,0.15,0,1.934444e-01
0,0.15,0.05,1.934444e-01
0,0.15,0.1,1.934444e-01
0,0.15,0.15,1.934444e-01
0,0.15,0.2,1.934444e-01
0,0.2,0,2.492826e-01
0,0.2,0.05,2.492826e-01
0,0.2,0.1,2.492826e-01
0,0.2,0.15,2.492826e-01
0,0.2,0.2,2.492826e-01
0,0.25,0,3.052202e-01
0,0.25,0.05,3.052202e-01
0,0.25,0.1,3.052202e-01
0,0.25,0.15,3.052202e-01
0,0.25,0.2,3.052202e-01
0,0.3,0,3.613981e-01
0,0.3,0.05,3.613981e-01
0,0.3,0.1,3.613981e-01
0,0.3,0.15,3.613981e-01
0,0.3,0.2,3.613981e-01
0.05,0,0,7.089793e-02
0.05,0,0.05,7.089793e-02
0.05,0,0.1,7.089793e-02
0.05,0,0.15,7.089793e-02
0.05,0,0.2,7.089793e-02
0.05,0.05,0,4.694851e-04
0.05,0.05,0.05,4.694851e-04
0.05,0.05,0.1,4.694851e-04
0.05,0.05,0.15,4.694851e-04
0.05,0.05,0.2,4.694851e-04
0.05,0.1,0,2.240495e-03
0.05,0.1,0.05,2.240495e-03
0.05,0.1,0.1,2.240495e-03
0.05,0.1,0.15,2.240495e-03
0.05,0.1,0.2,2.240495e-03
0.05,0.15,0,1.199580e-02
0.05,0.15,0.05,1.199580e-02
0.05,0.15,0.1,1.199580e-02
0.05,0.15,0.15,1.199580e-02
0.05,0.15,0.2,1.199580e-02
0.05,0.2,0,5.024758e-02
0.05,0.2,0.05,5.024758e-02
0.05,0.2,0.1,5.024758e-02
0.05,0.2,0.15,5.024758e-02
0.05,0.2,0.2,5.024758e-02
0.05,0.25,0,1.178613e-01
0.05,0.25,0.05,1.178613e-01
0.05,0.25,0.1,1.178613e-01
0.05,0.25,0.15,1.178613e-01
0.05,0.25,0.2,1.178613e-01
0.05,0.3,0,1.873860e-01
0.05,0.3,0.05,1.873860e-01
0.05,0.3,0.1,1.873860e-01
0.05,0.3,0.15,1.873860e-01
0.05,0.3,0.2,1.873860e-01
0.1,0,0,1.320321e-01
0.1,0,0.05,1.320321e-01
0.1,0,0.1,1.320321e-01
0.1,0,0.15,1.320321e-01
0.1,0,0.2,1.320321e-01
0.1,0.05,0,2.240495e-03
0.1,0.05,0.05,2.240495e-03
0.1,0.05,0.1,2.240495e-03
0.1,0.05,0.15,2.240495e-03
0.1,0.05,0.2,2.240495e-03
0.1,0.1,0,2.313778e-07
0.1,0.1,0.05,2.313778e-07
0.1,0.1,0.1,2.313778e-07
0.1,0.1,0.15,2.313778e-07
0.1,0.1,0.2,2.313778e-07
0.1,0.15,0,1.368472e-05
0.1,0.15,0.05,1.368472e-05
0.1,0.15,0.1,1.368472e-05
0.1,0.15,0.15,1.368472e-05
0.1,0.15,0.2,1.368472e-05
0.1,0.2,0,8.043617e-05
0.1,0.2,0.05,8.043617e-05
0.1,0.2,0.1,8.043617e-05
0.1,0.2,0.15,8.043617e-05
0.1,0.2,0.2,8.043617e-05
0.1,0.25,0,4.649293e-04
0.1,0.25,0.05,4.649293e-04
0.1,0.25,0.1,4.649293e-04
0.1,0.25,0.15,4.649293e-04
0.1,0.25,0.2,4.649293e-04
0.1,0.3,0,2.485288e-03
0.1,0.3,0.05,2.485288e-03
0.1,0.3,0.1,2.485288e-03
