mu_well_sign, min_abs_E
0, 1.208024e-02
-0, 1.208024e-02
0.5, 1.165618e-02
-0.5, 1.250385e-02
1, 1.124418e-02
-1, 1.086383e-02
1.5, 1.085457e-02
-1.5, 7.650286e-03
2, 1.049414e-02
-2, 5.164475e-03
2.5, 1.016610e-02
-2.5, 3.273634e-03
3, 9.870730e-03
-3, 1.831556e-03
3.5, 9.606461e-03
-3.5, 7.183025e-04
4, 9.370702e-03
-4, 1.548695e-04
4.5, 9.160474e-03
-4.5, 8.512658e-04
5, 8.972787e-03
-5, 1.415702e-03
5.5, 8.804845e-03
-5.5, 1.880083e-03
6, 8.654131e-03
-6, 2.267388e-03

Candidates (|E|<0.001):
{"mu_well": -3.5, "min_abs": 0.000718302534920067}
{"mu_well": -4.0, "min_abs": 0.00015486948700825582}
{"mu_well": -4.5, "min_abs": 0.0008512658363600248}
