param,delta,sens_score,base_score,score_plus,score_minus,target_plus,braid_plus,ybe_plus,target_minus,braid_minus,ybe_minus
cross_comp_2,0.02,-14.373727018012017,1.347823646113772,1.473930028672175,2.0488791093926557,0.8984771350949116,0.5159904651273219,0.05946242844994176,1.312144700364717,0.6617309721788227,0.07500343684911609
tc,0.02,-8.421944980138674,1.347823646113772,3.1436535092972973,3.480531308502844,0.9247091083134579,1.3921569664871818,0.8267874344966576,1.5141402890979,1.3834826580637032,0.5829083613412406
cross_comp_1,0.02,-6.652816029223385,1.347823646113772,1.5761528814482793,1.8422655226172147,1.0805617942384214,0.4342260226791024,0.06136506453075558,1.1703059699847533,0.5643349696463442,0.10762458298611713
zeeman,0.02,-6.0362124214826505,1.347823646113772,1.9091684399947828,2.150616936854089,1.1432958782213152,0.6126317795670662,0.15324078220640155,1.1570870021283304,0.7495150942725791,0.24401484045317925
cross_comp_3,0.02,3.9665767238991068,1.347823646113772,1.4462392544358529,1.2875761854798886,1.1379412856696962,0.28161664511625484,0.02668132364990162,1.0825790531285173,0.18648550718917045,0.01851162516220083
hc_factor,0.0425,-3.9632682259476106,1.347823646113772,3.1436535092972973,3.480531308502844,0.9247091083134579,1.3921569664871818,0.8267874344966576,1.5141402890979,1.3834826580637032,0.5829083613412406
T,0.0635,-2.6525810961067737,1.347823646113772,3.1436535092972897,3.48053130850285,0.9247091083134577,1.3921569664871796,0.8267874344966524,1.5141402890979017,1.3834826580637063,0.5829083613412422
zeeman_drive_3,0.02,2.4844487251649503,1.347823646113772,1.4553120670654967,1.3559341180588986,1.1234790249754996,0.2976092669239184,0.03422377516607847,1.1009326983400567,0.2341784632414905,0.020822956477351478
zeeman_drive_1,0.02,-2.272109736781519,1.347823646113772,1.3559590958493302,1.446843485320591,1.1009326983400551,0.23417307671453255,0.02085332079474262,1.1234790249755,0.2996374422901493,0.02372701805494151
phase_comp,0.02,-0.13872678992976617,1.347823646113772,1.5358574229869637,1.5414064945841544,1.115287486809998,0.37532270476883445,0.045247231408131076,1.115287486809998,0.37339431087550906,0.05272469689864715
zeeman_drive_2,0.02,-0.06955613340898226,1.347823646113772,1.3510367575129845,1.3538190028493438,1.1085010085112141,0.22364411736245274,0.018891631639317532,1.1085010085112152,0.2230169788903093,0.022301015447819105
