combo,values,min_abs_E
X_X,0,5.663742e-03
X_X,0.05,4.150180e-03
X_X,0.1,1.230824e-04
X_X,0.15,5.460443e-06
X_X,0.2,7.568225e-07
X_X,0.25,3.036362e-08
X_X,0.3,5.176584e-09
Y_Y,0,5.663742e-03
Y_Y,0.05,4.150180e-03
Y_Y,0.1,1.230824e-04
Y_Y,0.15,5.460443e-06
Y_Y,0.2,7.568225e-07
Y_Y,0.25,3.036362e-08
Y_Y,0.3,5.176584e-09
Z_Z,0,5.663742e-03
Z_Z,0.05,3.643471e-03
Z_Z,0.1,1.276008e-02
Z_Z,0.15,4.121886e-04
Z_Z,0.2,1.825213e-01
Z_Z,0.25,3.825213e-01
Z_Z,0.3,5.825213e-01
X_Y,0,5.663742e-03
X_Y,0.05,6.681434e-02
X_Y,0.1,1.278788e-01
X_Y,0.15,1.888125e-01
X_Y,0.2,2.481983e-01
X_Y,0.25,3.036013e-01
X_Y,0.3,3.593262e-01
Y_X,0,5.663742e-03
Y_X,0.05,6.681434e-02
Y_X,0.1,1.278788e-01
Y_X,0.15,1.888125e-01
Y_X,0.2,2.481983e-01
Y_X,0.25,3.036013e-01
Y_X,0.3,3.593262e-01
X_Z,0,5.663742e-03
X_Z,0.05,5.663742e-03
X_Z,0.1,5.663742e-03
X_Z,0.15,5.663742e-03
X_Z,0.2,5.663742e-03
X_Z,0.25,5.663742e-03
X_Z,0.3,5.663742e-03
Y_Z,0,5.663742e-03
Y_Z,0.05,5.663742e-03
Y_Z,0.1,5.663742e-03
Y_Z,0.15,5.663742e-03
Y_Z,0.2,5.663742e-03
Y_Z,0.25,5.663742e-03
Y_Z,0.3,5.663742e-03
Z_X,0,5.663742e-03
Z_X,0.05,5.663742e-03
Z_X,0.1,5.663742e-03
Z_X,0.15,5.663742e-03
Z_X,0.2,5.663742e-03
Z_X,0.25,5.663742e-03
Z_X,0.3,5.663742e-03
Z_Y,0,5.663742e-03
Z_Y,0.05,5.663742e-03
Z_Y,0.1,5.663742e-03
Z_Y,0.15,5.663742e-03
Z_Y,0.2,5.663742e-03
Z_Y,0.25,5.663742e-03
Z_Y,0.3,5.663742e-03
X_X+Y_Y,0,5.663742e-03
X_X+Y_Y,0.05,2.060073e-03
X_X+Y_Y,0.1,2.205897e-02
X_X+Y_Y,0.15,2.443916e-02
X_X+Y_Y,0.2,4.287488e-03
X_X+Y_Y,0.25,3.908895e-02
X_X+Y_Y,0.3,8.199504e-03
X_X+Z_Z,0,5.663742e-03
X_X+Z_Z,0.05,2.347288e-03
X_X+Z_Z,0.1,2.240990e-04
X_X+Z_Z,0.15,1.881514e-05
X_X+Z_Z,0.2,9.997956e-07
X_X+Z_Z,0.25,1.680337e-08
X_X+Z_Z,0.3,6.774073e-04
X_X+X_Y,0,5.663742e-03
X_X+X_Y,0.05,5.219474e-02
X_X+X_Y,0.1,4.838864e-02
X_X+X_Y,0.15,2.949911e-02
X_X+X_Y,0.2,1.092714e-02
X_X+X_Y,0.25,3.146050e-03
X_X+X_Y,0.3,8.058181e-04
X_X+Y_X,0,5.663742e-03
X_X+Y_X,0.05,5.219474e-02
X_X+Y_X,0.1,4.838864e-02
X_X+Y_X,0.15,2.949911e-02
X_X+Y_X,0.2,1.092714e-02
X_X+Y_X,0.25,3.146050e-03
X_X+Y_X,0.3,8.058181e-04
X_X+X_Z,0,5.663742e-03
X_X+X_Z,0.05,4.150180e-03
X_X+X_Z,0.1,1.230824e-04
X_X+X_Z,0.15,5.460443e-06
X_X+X_Z,0.2,7.568225e-07
X_X+X_Z,0.25,3.036362e-08
X_X+X_Z,0.3,5.176584e-09
X_X+Y_Z,0,5.663742e-03
X_X+Y_Z,0.05,4.150180e-03
X_X+Y_Z,0.1,1.230824e-04
X_X+Y_Z,0.15,5.460443e-06
X_X+Y_Z,0.2,7.568225e-07
X_X+Y_Z,0.25,3.036362e-08
X_X+Y_Z,0.3,5.176584e-09
X_X+Z_X,0,5.663742e-03
X_X+Z_X,0.05,4.150180e-03
X_X+Z_X,0.1,1.230824e-04
X_X+Z_X,0.15,5.460443e-06
X_X+Z_X,0.2,7.568225e-07
X_X+Z_X,0.25,3.036362e-08
X_X+Z_X,0.3,5.176584e-09
X_X+Z_Y,0,5.663742e-03
X_X+Z_Y,0.05,4.150180e-03
X_X+Z_Y,0.1,1.230824e-04
X_X+Z_Y,0.15,5.460443e-06
X_X+Z_Y,0.2,7.568225e-07
X_X+Z_Y,0.25,3.036362e-08
X_X+Z_Y,0.3,5.176584e-09
Y_Y+Z_Z,0,5.663742e-03
Y_Y+Z_Z,0.05,2.347288e-03
Y_Y+Z_Z,0.1,2.240990e-04
Y_Y+Z_Z,0.15,1.881514e-05
Y_Y+Z_Z,0.2,9.997956e-07
Y_Y+Z_Z,0.25,1.680337e-08
Y_Y+Z_Z,0.3,6.774073e-04
Y_Y+X_Y,0,5.663742e-03
Y_Y+X_Y,0.05,5.219474e-02
Y_Y+X_Y,0.1,4.838864e-02
Y_Y+X_Y,0.15,2.949911e-02
Y_Y+X_Y,0.2,1.092714e-02
Y_Y+X_Y,0.25,3.146050e-03
Y_Y+X_Y,0.3,8.058181e-04
Y_Y+Y_X,0,5.663742e-03
Y_Y+Y_X,0.05,5.219474e-02
Y_Y+Y_X,0.1,4.838864e-02
Y_Y+Y_X,0.15,2.949911e-02
Y_Y+Y_X,0.2,1.092714e-02
Y_Y+Y_X,0.25,3.146050e-03
Y_Y+Y_X,0.3,8.058181e-04
Y_Y+X_Z,0,5.663742e-03
Y_Y+X_Z,0.05,4.150180e-03
Y_Y+X_Z,0.1,1.230824e-04
Y_Y+X_Z,0.15,5.460443e-06
Y_Y+X_Z,0.2,7.568225e-07
Y_Y+X_Z,0.25,3.036362e-08
Y_Y+X_Z,0.3,5.176584e-09
Y_Y+Y_Z,0,5.663742e-03
Y_Y+Y_Z,0.05,4.150180e-03
Y_Y+Y_Z,0.1,1.230824e-04
Y_Y+Y_Z,0.15,5.460443e-06
Y_Y+Y_Z,0.2,7.568225e-07
Y_Y+Y_Z,0.25,3.036362e-08
Y_Y+Y_Z,0.3,5.176584e-09
Y_Y+Z_X,0,5.663742e-03
Y_Y+Z_X,0.05,4.150180e-03
Y_Y+Z_X,0.1,1.230824e-04
Y_Y+Z_X,0.15,5.460443e-06
Y_Y+Z_X,0.2,7.568225e-07
Y_Y+Z_X,0.25,3.036362e-08
Y_Y+Z_X,0.3,5.176584e-09
Y_Y+Z_Y,0,5.663742e-03
