t,err_IP,err_Magnus
0.0,0.0,0.0
0.005,7.13841198042075e-12,6.430041418170771e-08
0.01,2.2719303787863023e-11,1.2987852384130485e-07
0.015,3.2824238006764413e-12,1.977609029685692e-07
0.02,2.1361210609756423e-11,2.6898674924375257e-07
0.025,3.133647543320901e-11,3.4450051279810033e-07
0.03,1.066056867398339e-11,4.2514875704388844e-07
0.035,2.762418978014932e-11,5.117859405110635e-07
0.04,8.806452326058279e-12,6.052931334643823e-07
0.045,9.888715373080755e-12,7.064037132221961e-07
0.05,1.681112891340297e-11,8.158168975316776e-07
0.055,1.564385336649779e-11,9.341666672415578e-07
0.06,1.2769663477092494e-11,1.0621563835643489e-06
0.065,8.218230150124556e-12,1.2004567347125973e-06
0.07,1.512262653638296e-11,1.3496430612767909e-06
0.075,9.880614064640426e-12,1.5102981554271565e-06
0.08,8.608750127068232e-12,1.682997716966134e-06
0.085,8.295932659119701e-12,1.868374763757966e-06
0.09,9.01452628781831e-13,2.0670046760501684e-06
0.095,1.2929527850632583e-11,2.2794454591216115e-06
0.1,7.402408349927665e-12,2.506236329998025e-06
0.105,9.198653237330738e-12,2.747963568820143e-06
0.11,8.216327914245074e-12,3.0052285480706072e-06
0.115,8.954275148599042e-12,3.278576668913984e-06
0.12,1.4624598778890586e-11,3.568563866908601e-06
0.125,1.3112263460259927e-11,3.875729820324913e-06
0.13,1.1941589338860802e-11,4.2006626116764e-06
0.135,4.071176791313117e-12,4.543934998922095e-06
0.14,1.3658731181786362e-11,4.906083129531548e-06
0.145,1.957740388336614e-11,5.2876487004547195e-06
0.15,1.3711985687441939e-11,5.689177060572912e-06
0.155,1.6544594419763973e-11,6.111241388420745e-06
0.16,1.8877547130125766e-11,6.554381733992025e-06
0.165,1.2207914166955834e-11,7.019131720491862e-06
0.17,2.3116236920029228e-11,7.5060106027711125e-06
0.17500000000000002,9.619151254075541e-12,8.015565909240483e-06
0.18,9.604833513305432e-12,8.548348131728676e-06
0.185,2.124228304948292e-11,9.10487520150223e-06
0.19,1.588017823755223e-11,9.685670154884532e-06
0.195,1.9713292339160798e-11,1.0291250688892205e-05
0.2,1.21465196494413e-11,1.0922164655776831e-05
0.20500000000000002,1.3297147669751593e-11,1.1578944592282083e-05
0.21,1.5724910445039984e-11,1.2262114093261418e-05
0.215,1.7623260610984417e-11,1.297219317522245e-05
0.22,1.3701264981536796e-11,1.3709726141113425e-05
0.225,1.0153956492327533e-11,1.4475276152164154e-05
0.23,1.9157584100137308e-11,1.526938797992871e-05
0.23500000000000001,1.2936824112430952e-11,1.609262007754945e-05
0.24,1.458148976146961e-11,1.694553387393084e-05
0.245,1.1003758066354689e-11,1.78287352367538e-05
0.25,1.13691627371156e-12,1.8742839123550136e-05
0.255,1.8685072186952755e-11,1.9688461338265555e-05
0.26,9.83717991767026e-12,2.0666239812783877e-05
0.265,1.2792236689856102e-11,2.167684631393607e-05
0.27,9.496406166542713e-12,2.272100326547572e-05
0.275,2.9569531176695254e-12,2.379944264669847e-05
0.28,2.0580953651973434e-11,2.491293239696313e-05
0.28500000000000003,9.356339841441068e-12,2.6062267118661746e-05
0.29,1.4549833476229175e-11,2.7248314785335077e-05
0.295,1.213603670771723e-11,2.847199890217849e-05
0.3,8.558888894075593e-12,2.9734269364540534e-05
0.305,2.453596047423047e-11,3.103614119925655e-05
0.31,1.8020708760861734e-11,3.237868303751326e-05
0.315,1.726066530578201e-11,3.376306617216789e-05
0.32,1.843907676322964e-11,3.519053045973998e-05
0.325,1.7643728317189172e-11,3.66623728821506e-05
0.33,3.0507688893271455e-11,3.817998130263952e-05
0.335,3.0583134022908605e-11,3.974483551642394e-05
0.34,1.9637684859220714e-11,4.135854480011535e-05
0.34500000000000003,2.550884337933153e-11,4.302280755904226e-05
0.35000000000000003,2.7236268257226906e-11,4.47394182636279e-05
0.355,3.590032595734095e-11,4.6510286111655425e-05
0.36,4.5473365710761445e-11,4.83374542592043e-05
0.365,1.910392170407725e-11,5.0223122539836185e-05
0.37,3.513960899655354e-11,5.216960545866636e-05
0.375,3.6446270790996275e-11,5.417935185451141e-05
0.38,3.5530676128554706e-11,5.625494955531206e-05
0.385,6.144349172754596e-11,5.8399157639309864e-05
0.39,1.5032909561053214e-11,6.06149182781227e-05
0.395,4.596087010086566e-11,6.290531423774723e-05
0.4,3.88507849610422e-11,6.527359164482872e-05
0.405,2.5595210530947362e-11,6.772315966402971e-05
0.41000000000000003,7.381067550599959e-11,7.025762325047892e-05
0.41500000000000004,2.4284898575470282e-11,7.288079211129717e-05
0.42,4.974955029491109e-11,7.559663697332096e-05
0.425,4.717742822357835e-11,7.840930624793723e-05
0.43,1.8654187839047806e-11,8.132312979746361e-05
0.435,7.438443490378649e-11,8.434264017454545e-05
0.44,5.019884436234975e-11,8.747258645108411e-05
0.445,3.83495928004281e-11,9.071788925389625e-05
0.45,6.148175695828744e-11,9.408364215309171e-05
0.455,3.338335006523507e-11,9.757512994944687e-05
0.46,5.5528391270489104e-11,0.00010119782600284402
0.465,7.570193041567397e-11,0.00010495741877508678
0.47000000000000003,8.763513530630032e-12,0.00010885976657219824
0.47500000000000003,6.493317411668184e-11,0.00011291088014134673
0.48,4.811906792761076e-11,0.00011711695637490594
0.485,1.77482065714603e-11,0.0001214843503830589
0.49,8.574945052089712e-11,0.00012601961599011786
0.495,3.85934505871236e-11,0.00013072946421690442
0.5,4.393864131687722e-11,0.00013562072965530065
0.505,7.67279177822301e-11,0.00014070040967829547
0.51,1.8343496960935104e-11,0.0001459756235166394
0.515,6.636249772071392e-11,0.00015145365699570175
0.52,8.306774333703253e-11,0.00015714193338796484
0.525,7.1595843500990906e-12,0.00016304797226517756
0.53,8.561939331378164e-11,0.00016917941077847955
0.535,6.408613521530501e-11,0.00017554398332677055
0.54,1.8043540262555965e-11,0.00018214953924791723
0.545,1.012439103437462e-10,0.0001890040424828335
0.55,6.519688803229904e-11,0.0001961155335163284
0.555,4.325679766509723e-11,0.0002034921106343533
0.56,1.1587036026862022e-10,0.00021114196034864043
0.5650000000000001,3.7323250794769895e-11,0.00021907332001229514
0.5700000000000001,6.317962998291928e-11,0.00022729451266655578
0.5750000000000001,1.218194095679821e-10,0.00023581391864745991
0.58,5.0381140250837264e-11,0.0002446399436063784
0.585,9.967853839362619e-11,0.00025378103243622343
0.59,1.3444177068734842e-10,0.0002632456588515769
0.595,1.1162436617157811e-11,0.00027304232614027915
0.6,1.0978853197548097e-10,0.0002831795742623365
0.605,1.3574749195627401e-10,0.0002936659529850997
0.61,3.0780825970101106e-11,0.00030450999826825577
0.615,1.545454380246255e-10,0.0003157202558567129
0.62,1.5145416860524462e-10,0.00032730525376956375
0.625,1.8732694858031235e-11,0.0003392735164740172
0.63,1.561486705275302e-10,0.0003516335581982902
0.635,1.5366043797739974e-10,0.00036439386237465955
