t,a,b,c,q0,q1,q2,q3,phi
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.005,0.0029999383159318434,1.3878115928696163e-10,6.16838581960192e-08,0.999998875046473,0.001499968595500683,2.3128576510630464e-11,3.084199848596298e-08,0.0001
0.01,0.005999506544048121,2.220412569747422e-09,4.934506409469671e-07,0.999995500743497,0.002999748773136452,3.7008731237888647e-10,2.467275407329269e-07,0.0002
0.015,0.008998334836084964,1.121145814451963e-08,1.6650915118137636e-06,0.9999898787629989,0.004499152238989285,1.8599222336008571e-09,8.32562550542671e-07,0.0003
0.02,0.011996053395548049,3.5426696778834387e-08,3.946334292166993e-06,0.9999820118898484,0.00599799073336975,5.877991502210374e-09,1.9732378970375826e-06,0.0004
0.025,0.014992292335069206,8.657074046205029e-08,7.707017053177637e-06,0.9999719040204558,0.0074960759636763345,1.4397961444664165e-08,3.853724728934521e-06,0.0005
0.03,0.01798668238642294,1.7960957677116005e-07,1.3316223798245175e-05,0.9999595601574837,0.008993219963582454,2.99232918462222e-08,6.658650280440029e-06,0.0006
0.035,0.02097885491856693,3.3276723559277426e-07,2.114226250153672e-05,0.999944986404307,0.010489235106238894,5.549138342155558e-08,1.0572294932106255e-05,0.0007000000000000001
0.04,0.02396844193764201,5.675257891231204e-07,3.155266510798703e-05,0.9999281899588144,0.011983934108462609,9.467998779112168e-08,1.577860025204226e-05,0.0008
0.045,0.02695507608697219,9.086253518680442e-07,4.4914187533298485e-05,0.9999091791065297,0.01347713003493565,1.5161424212931774e-07,2.2461177028111995e-05,0.0009
0.05,0.029938390647064654,1.3840640806430091e-06,6.159280966394115e-05,0.9998879632130535,0.014968636302417583,2.3097432443431956e-07,3.080331328737483e-05,0.001
0.055,0.03291801953560975,2.025098174573095e-06,8.195373535715267e-05,0.9998645527158317,0.016458266683975015,3.38003725458137e-07,4.0987982298962405e-05,0.0011
0.06,0.03589359737854912,2.8662160408409596e-06,0.00010636130642866279,0.9998389591146164,0.017945835348759407,4.785059882678236e-07,5.319780732551426e-05,0.0012
0.065,0.03886476037890453,3.944874581743398e-06,0.00013517794901582393,0.9998111949532268,0.019431157300598773,6.587328963240467e-07,6.761454021049749e-05,0.0013000000000000002
0.07,0.04183114530542213,5.301923481878938e-06,0.0001687653951581024,0.999781273816401,0.02091404787666713,8.855981437662228e-07,8.441968341445603e-05,0.0014000000000000002
0.075,0.044792390113343225,6.981279616660075e-06,0.0002074839353750747,0.9997492103122712,0.02239432306210595,1.1665332816354603e-06,0.00010379412115907307,0.0015
0.08,0.047748134237917544,9.029807168363816e-06,0.0002516920639557013,0.9997150200553607,0.023871799641029857,1.5094457219303747e-06,0.00012591794791968905,0.0016
0.085,0.05069801859440325,1.1497317626131663e-05,0.00030174647895832616,0.9996787196513747,0.02534629520081667,1.9227343182032113e-06,0.00015097047521819842,0.0017000000000000001
0.09,0.05364168557806697,1.4436569785969629e-05,0.0003580020822106767,0.9996403266813823,0.02681762813641941,2.4153054924134592e-06,0.00017913023839489874,0.0018
0.095,0.05657877906418375,1.790326975074824e-05,0.00042081197930986464,0.9995998596854047,0.02828561765470324,2.9965898987672838e-06,0.00021057500335556751,0.0019
0.1,0.059508944408037105,2.1956070930202505e-05,0.0004905274796223851,0.9995573381454091,0.029750083778810846,3.676559615371381e-06,0.00024548177328990415,0.002
0.105,0.06243182844491897,2.6656574040931953e-05,0.0005674980962841165,0.9995127824677241,0.03121084735255956,4.465745854627938e-06,0.0002840267953573411,0.0021
0.11,0.0653470797997248,3.206912379720486e-05,0.0006520711771867577,0.9994662139598819,0.032667730199554636,5.375161559951364e-06,0.00032638537960779734,0.0022
0.115,0.06825434939047256,3.826055990434644e-05,0.0007445912979794346,0.9994176548023384,0.03412055537916333,6.416207286816812e-06,0.00037273159732787337,0.0023
0.12,0.07115328949218866,4.530082319599489e-05,0.0008454013782204163,0.9993671280427822,0.03556914672323024,7.60097711734196e-06,0.00042323885459814815,0.0024
0.125,0.07404355459943046,5.326229857817718e-05,0.000954841660694666,0.9993146575610673,0.037013329271453996,8.941968179723775e-06,0.00047807937722321275,0.0025
0.13,0.07692480148227182,6.221977556286409e-05,0.0010732496449052714,0.9992602680452992,0.038452929303758945,1.0452085444182062e-05,0.0005374241815370238,0.0026000000000000003
0.135,0.07979668918630321,7.225044826797028e-05,0.0012009600870734462,0.999203984968312,0.03988777434471618,1.2144665621127885e-05,0.0006014430790369403,0.0027
0.14,0.08265887903263167,8.343391541735425e-05,0.001338305000138529,0.9991458345636894,0.04131769316798969,1.4033501454001653e-05,0.0006703046809889286,0.0028000000000000004
0.145,0.08551103461788073,9.58521803408183e-05,0.0014856136537579846,0.9990858438013368,0.04274251580081089,1.613286639301526e-05,0.0007441764030000752,0.0029
0.15,0.08835282181419057,0.00010958965097410882,0.0016432125743074042,0.9990240403626215,0.044162073528484634,1.845753963615672e-05,0.0008232244695543714,0.003
0.155,0.09118390876922727,0.00012473313984927281,0.001811425544869708,0.9989604526150873,0.04557619889893443,2.1022831519361182e-05,0.0009076139185019123,0.0031
0.16,0.09400396650452125,0.0001413712790697367,0.0019905729124397855,0.9988951095730851,0.046984726025821606,2.384433303934206e-05,0.0009975082457568956,0.0032
0.165,0.0968126686758073,0.00015959485784064923,0.0021809718507888386,0.9988280408753992,0.048387490473418844,2.6938106639179012e-05,0.0010930695472072254,0.0033000000000000004
0.17,0.09960969134575713,0.0001794969694293296,0.0023829366336506827,0.9987592767631573,0.04978432914772408,3.0320780728946588e-05,0.0011944586623742722,0.0034000000000000002
0.17500000000000002,0.102394713568168,0.00020117238140851973,0.002596777966405426,0.998688848038172,0.05117508059238275,3.4009279087751586e-05,0.0013018348285896318,0.0035000000000000005
0.18,0.10516741738796276,0.0002247175356563843,0.002822802986079469,0.9986167860335923,0.05255958499307381,3.802085054397567e-05,0.0014153556828855923,0.0036
0.185,0.1079274878411899,0.0002502305483565112,0.0030613152613455097,0.9985431225842887,0.05393768418190739,4.2373098861819524e-05,0.0015351772638634708,0.0037
0.19,0.11067461295502345,0.00027781120999791076,0.0033126147925225348,0.9984678899969848,0.05530922164183657,4.7084012816822146e-05,0.001661454013536052,0.0038
0.195,0.11340848374776305,0.0003075609853750164,0.0035769980115758267,0.9983911210201541,0.05667404251108626,5.217199644319544e-05,0.001794338779140177,0.0039000000000000003
